Running post_and_query.sh with numTerms = 100000
Starting at 01:53:53 - time since epoch start 1410080033.098381700
term,numTerms,numDocs,timeEpoch,timeStart,totalTime,curlStatus,lookupTime,connectTime,pretransfterTime,starttransferTime
post,100000,0,1410080033.387732600,,1.203,200,0.005,0.005,0.005,1.203
rahjMyUwwKrXnFMQGEe-0,100000,1,1410080034.737260600,1.63888,0.044,200,0.008,0.009,0.009,0.043
rahjMyUwwKrXnFMQGEe-0,100000,1,1410080034.847776300,1.74939,0.011,200,0.005,0.005,0.006,0.010
rahjMyUwwKrXnFMQGEe-0,100000,1,1410080034.915193500,1.81681,0.012,200,0.008,0.009,0.009,0.012
rahjMyUwwKrXnFMQGEe-0,100000,1,1410080034.978576000,1.88019,0.008,200,0.004,0.005,0.005,0.008
rahjMyUwwKrXnFMQGEe-0,100000,1,1410080035.035982400,1.9376,0.008,200,0.004,0.005,0.005,0.008
rahjMyUwwKrXnFMQGEe-0,100000,1,1410080035.097030300,1.99865,0.009,200,0.004,0.005,0.005,0.008
rahjMyUwwKrXnFMQGEe-0,100000,1,1410080035.159527900,2.06115,0.009,200,0.004,0.005,0.005,0.008
rahjMyUwwKrXnFMQGEe-0,100000,1,1410080035.220356200,2.12197,0.008,200,0.004,0.005,0.005,0.008
rahjMyUwwKrXnFMQGEe-0,100000,1,1410080035.281539500,2.18316,0.009,200,0.004,0.005,0.005,0.009
rahjMyUwwKrXnFMQGEe-0,100000,1,1410080035.343435000,2.24505,0.008,200,0.004,0.005,0.005,0.008
rahjMyUwwKrXnFMQGEe-0,100000,1,1410080035.410903900,2.31252,0.012,200,0.008,0.009,0.009,0.012
rahjMyUwwKrXnFMQGEe-0,100000,1,1410080035.478178700,2.3798,0.009,200,0.005,0.005,0.005,0.009
rahjMyUwwKrXnFMQGEe-0,100000,1,1410080035.537414800,2.43903,0.009,200,0.005,0.005,0.005,0.009
rahjMyUwwKrXnFMQGEe-0,100000,1,1410080035.600183300,2.5018,0.008,200,0.004,0.005,0.005,0.008
rahjMyUwwKrXnFMQGEe-0,100000,1,1410080035.661708100,2.56333,0.009,200,0.004,0.005,0.005,0.009
rahjMyUwwKrXnFMQGEe-0,100000,1,1410080035.724012300,2.62563,0.012,200,0.008,0.008,0.008,0.012
rahjMyUwwKrXnFMQGEe-0,100000,1,1410080035.784043300,2.68566,0.008,200,0.005,0.005,0.005,0.008
rahjMyUwwKrXnFMQGEe-0,100000,1,1410080035.845223900,2.74684,0.008,200,0.004,0.004,0.005,0.007
rahjMyUwwKrXnFMQGEe-0,100000,1,1410080035.901095500,2.80271,0.007,200,0.004,0.004,0.004,0.007
rahjMyUwwKrXnFMQGEe-0,100000,1,1410080035.955891400,2.85751,0.008,200,0.004,0.004,0.004,0.007
rahjMyUwwKrXnFMQGEe-0,100000,1,1410080036.015611800,2.91723,0.008,200,0.004,0.005,0.005,0.008
rahjMyUwwKrXnFMQGEe-0,100000,1,1410080036.074241100,2.97586,0.008,200,0.004,0.005,0.005,0.008
rahjMyUwwKrXnFMQGEe-0,100000,1,1410080036.133165500,3.03478,0.012,200,0.008,0.008,0.008,0.011
rahjMyUwwKrXnFMQGEe-0,100000,1,1410080036.193038100,3.09466,0.008,200,0.004,0.004,0.004,0.007
rahjMyUwwKrXnFMQGEe-0,100000,1,1410080036.247327300,3.14895,0.008,200,0.004,0.004,0.004,0.007
rahjMyUwwKrXnFMQGEe-0,100000,1,1410080036.301843400,3.20346,0.008,200,0.004,0.005,0.005,0.008
rahjMyUwwKrXnFMQGEe-0,100000,1,1410080036.357362500,3.25898,0.008,200,0.004,0.005,0.005,0.008
rahjMyUwwKrXnFMQGEe-0,100000,1,1410080036.412475600,3.31409,0.007,200,0.004,0.004,0.004,0.007
rahjMyUwwKrXnFMQGEe-0,100000,1,1410080036.466876000,3.36849,0.012,200,0.008,0.008,0.009,0.012
rahjMyUwwKrXnFMQGEe-0,100000,1,1410080036.535871800,3.43749,0.014,200,0.008,0.009,0.009,0.014
rahjMyUwwKrXnFMQGEe-0,100000,1,1410080036.603301100,3.50492,0.009,200,0.005,0.005,0.005,0.008
rahjMyUwwKrXnFMQGEe-0,100000,1,1410080036.666622500,3.56824,0.013,200,0.008,0.009,0.009,0.012
rahjMyUwwKrXnFMQGEe-0,100000,1,1410080036.733478800,3.6351,0.013,200,0.008,0.009,0.009,0.012
rahjMyUwwKrXnFMQGEe-0,100000,1,1410080036.798702700,3.70032,0.012,200,0.008,0.009,0.009,0.012
rahjMyUwwKrXnFMQGEe-0,100000,1,1410080036.859355400,3.76097,0.012,200,0.008,0.009,0.009,0.012
rahjMyUwwKrXnFMQGEe-0,100000,1,1410080036.920672800,3.82229,0.008,200,0.004,0.005,0.005,0.008
rahjMyUwwKrXnFMQGEe-0,100000,1,1410080036.983981100,3.8856,0.008,200,0.004,0.005,0.005,0.008
rahjMyUwwKrXnFMQGEe-0,100000,1,1410080037.049630800,3.95125,0.008,200,0.004,0.004,0.004,0.007
rahjMyUwwKrXnFMQGEe-0,100000,1,1410080037.107808800,4.00943,0.012,200,0.008,0.008,0.008,0.011
rahjMyUwwKrXnFMQGEe-0,100000,1,1410080037.168442600,4.07006,0.012,200,0.008,0.008,0.008,0.011
rahjMyUwwKrXnFMQGEe-0,100000,1,1410080037.228507700,4.13013,0.007,200,0.004,0.004,0.004,0.007
rahjMyUwwKrXnFMQGEe-0,100000,1,1410080037.282987600,4.18461,0.008,200,0.004,0.005,0.005,0.007
rahjMyUwwKrXnFMQGEe-0,100000,1,1410080037.339043900,4.24066,0.008,200,0.005,0.005,0.005,0.008
rahjMyUwwKrXnFMQGEe-0,100000,1,1410080037.404747200,4.30637,0.020,200,0.016,0.016,0.016,0.019
rahjMyUwwKrXnFMQGEe-0,100000,1,1410080037.513729900,4.41535,0.012,200,0.004,0.005,0.005,0.011
rahjMyUwwKrXnFMQGEe-0,100000,1,1410080037.585953900,4.48757,0.011,200,0.007,0.008,0.008,0.011
rahjMyUwwKrXnFMQGEe-0,100000,1,1410080037.652058400,4.55368,0.012,200,0.008,0.008,0.008,0.011
rahjMyUwwKrXnFMQGEe-0,100000,1,1410080037.710303800,4.61192,0.009,200,0.004,0.005,0.005,0.009
rahjMyUwwKrXnFMQGEe-0,100000,1,1410080037.777077200,4.6787,0.008,200,0.005,0.005,0.005,0.008
rahjMyUwwKrXnFMQGEe-0,100000,1,1410080037.833024800,4.73464,0.007,200,0.004,0.004,0.004,0.007
rahjMyUwwKrXnFMQGEe-0,100000,1,1410080037.890061200,4.79168,0.009,200,0.005,0.005,0.005,0.009
rahjMyUwwKrXnFMQGEe-0,100000,1,1410080037.953639600,4.85526,0.012,200,0.009,0.009,0.009,0.012
rahjMyUwwKrXnFMQGEe-0,100000,1,1410080038.015640400,4.91726,0.008,200,0.005,0.005,0.005,0.008
rahjMyUwwKrXnFMQGEe-0,100000,1,1410080038.078077600,4.9797,0.012,200,0.008,0.009,0.009,0.012
rahjMyUwwKrXnFMQGEe-0,100000,1,1410080038.139889800,5.04151,0.008,200,0.005,0.005,0.005,0.008
rahjMyUwwKrXnFMQGEe-0,100000,1,1410080038.198645300,5.10026,0.007,200,0.004,0.004,0.004,0.007
