INFO  - 2014-07-26 21:36:47.720; org.apache.solr.update.DirectUpdateHandler2; start commit{,optimize=false,openSearcher=false,waitSearcher=true,expungeDeletes=false,softCommit=false,prepareCommit=false}
INFO  - 2014-07-26 21:36:48.600; org.apache.solr.update.processor.LogUpdateProcessor; [collection1] webapp=/solr path=/update/csv params={fieldnames=MG,ManagementGroupName,ObjectId,ObjectFullName,HealthServiceId,WorkflowName,WorkflowDisplayName,RuleId,ObjectName,CounterName,InstanceName,SampleValue,Min,Max,Percentile95,SampleCount,TimeGenerated,TenantId,RootObjectName,ObjectDisplayName,ObjectType,SourceSystem,id,Type&skipLines=1&header=false} {add=[6218e794-0fc2-4304-8905-f06d316dc218 (1474728408949719040), 7e567aef-c1cd-4c73-872f-1f76b93ee562 (1474728408950767616), 120b8eec-c608-4ae7-be11-826c96299ad7 (1474728408950767617), 55978c42-2a72-4539-94fe-3d962916ebfa (1474728408950767618), 0ac45ad2-aece-4487-b254-e4ddf5684df5 (1474728408950767619), 686a43fe-b80c-4be5-a6ee-4b211cdb868a (1474728408951816192), 32b8277c-3694-43fa-844f-08fc145599ab (1474728408951816193), 077d6009-2430-48e3-9ab9-10d63a6f493a (1474728408951816194), 06887a0a-0858-4edf-8667-db0d16df1926 (1474728408952864768), b7aee8dc-e6c5-4e90-8eb8-fe5d49da6993 (1474728408952864769), ... (500 adds)]} 0 1316
INFO  - 2014-07-26 21:36:48.971; org.apache.solr.update.processor.LogUpdateProcessor; [collection1] webapp=/solr path=/update/csv params={fieldnames=MG,ManagementGroupName,ObjectId,ObjectFullName,HealthServiceId,WorkflowName,WorkflowDisplayName,RuleId,ObjectName,CounterName,InstanceName,SampleValue,Min,Max,Percentile95,SampleCount,TimeGenerated,TenantId,RootObjectName,ObjectDisplayName,ObjectType,SourceSystem,id,Type&skipLines=1&header=false} {add=[c1891364-e629-4c2e-a778-fea32b8ca018 (1474728410547748864), 145fab76-3994-4d85-97ca-1905c39807a7 (1474728410548797440), 9a44f580-934a-43d6-b28c-9effe0e8e135 (1474728410548797441), 6988eacf-88cd-4607-88cb-5cb5137fc02d (1474728410549846016), ca165c44-81c3-4ad9-bc64-48bb04da9b47 (1474728410549846017), 8768ebc3-cba4-4715-ba90-12881bf9808f (1474728410549846018), 3307b386-1bee-4ea1-8223-64bc6fec01d1 (1474728410549846019), 1915436a-8cb9-4f59-b71e-68aee40a7083 (1474728410549846020), d58abc13-0815-4a1a-b132-abe9ba05df9c (1474728410549846021), aae748db-4e81-493e-8a56-aa45401913bf (1474728410549846022), ... (500 adds)]} 0 158
INFO  - 2014-07-26 21:36:49.280; org.apache.solr.update.processor.LogUpdateProcessor; [collection1] webapp=/solr path=/update/csv params={fieldnames=MG,ManagementGroupName,ObjectId,ObjectFullName,HealthServiceId,WorkflowName,WorkflowDisplayName,RuleId,ObjectName,CounterName,InstanceName,SampleValue,Min,Max,Percentile95,SampleCount,TimeGenerated,TenantId,RootObjectName,ObjectDisplayName,ObjectType,SourceSystem,id,Type&skipLines=1&header=false} {add=[55beb0ef-e892-4819-98d9-0915f6dd6558 (1474728410870710272), 284444ac-ef38-4df7-a2dc-6f9e81d106f2 (1474728410875953152), 7875dee5-d24e-4712-9f49-17223c1c1596 (1474728410875953153), 55d97f1f-9260-4792-9d34-32e360b224e7 (1474728410875953154), 42a4441b-a479-4ba8-823f-f094e93cb2a7 (1474728410875953155), 4f52a07c-8559-436b-8185-0f8e3428615b (1474728410875953156), 8a5ec011-93ba-46ca-8398-5dc01f08491c (1474728410875953157), b57697a2-f74a-4e07-a0b2-de6c515a92b6 (1474728410875953158), 555291c6-efda-41c9-bcb9-a059ecc0a64d (1474728410877001728), 50a4289f-3f23-45e0-8c47-e2ed7eaf7416 (1474728410877001729), ... (500 adds)]} 0 158
INFO  - 2014-07-26 21:36:49.694; org.apache.solr.update.processor.LogUpdateProcessor; [collection1] webapp=/solr path=/update/csv params={fieldnames=MG,ManagementGroupName,ObjectId,ObjectFullName,HealthServiceId,WorkflowName,WorkflowDisplayName,RuleId,ObjectName,CounterName,InstanceName,SampleValue,Min,Max,Percentile95,SampleCount,TimeGenerated,TenantId,RootObjectName,ObjectDisplayName,ObjectType,SourceSystem,id,Type&skipLines=1&header=false} {add=[542511a0-5671-4c3e-a4db-319e4f4fe3b5 (1474728411304820736), 32caa2e5-8abe-4ccd-a6a3-864644b2988d (1474728411305869312), 47354852-e03a-4ee9-b63e-f21326cd299f (1474728411306917888), 0cd50f1d-c8f0-442a-b50d-53c96f00c19d (1474728411306917889), dbf22601-8b27-415f-92d4-5b48df6d186b (1474728411306917890), 8ecbfd61-4427-4f8f-8092-966302519e4e (1474728411306917891), d056b047-c747-4aba-a91d-e3a0dd998fd5 (1474728411306917892), f104681f-2a37-460b-8dc1-b1af335fdcc5 (1474728411307966464), 348186a8-11f0-4544-9613-e0a733ff49ca (1474728411307966465), b719e8d8-0208-4e70-8f1e-a84e0482a6b9 (1474728411307966466), ... (500 adds)]} 0 159
INFO  - 2014-07-26 21:36:50.096; org.apache.solr.update.processor.LogUpdateProcessor; [collection1] webapp=/solr path=/update/csv params={fieldnames=MG,ManagementGroupName,ObjectId,ObjectFullName,HealthServiceId,WorkflowName,WorkflowDisplayName,RuleId,ObjectName,CounterName,InstanceName,SampleValue,Min,Max,Percentile95,SampleCount,TimeGenerated,TenantId,RootObjectName,ObjectDisplayName,ObjectType,SourceSystem,id,Type&skipLines=1&header=false} {add=[fc5d1586-3281-4a9c-aa19-4f1f123f8d12 (1474728411709571072), 28014830-9246-43a7-b7b2-a1f8707445dc (1474728411709571073), bbeabd11-575f-4e10-9de4-29399e638ed7 (1474728411709571074), 904e72dd-c8f7-44e9-9436-b3f8540ec2f9 (1474728411709571075), da2be1ee-0b12-4aa0-8c94-1eabfeae3e8f (1474728411709571076), 72075ce3-bf6e-4f36-936d-a89e70b7923a (1474728411709571077), 9d4f9447-0021-494a-b1df-47914d48b085 (1474728411709571078), 06bbcd9d-977f-4df9-b699-518dfe120812 (1474728411709571079), 1c526534-d459-4eab-bb0e-74d7981134bb (1474728411709571080), a6ba6238-ab8c-4a79-97b4-b579e174b077 (1474728411709571081), ... (500 adds)]} 0 198
INFO  - 2014-07-26 21:36:50.489; org.apache.solr.update.processor.LogUpdateProcessor; [collection1] webapp=/solr path=/update/csv params={fieldnames=MG,ManagementGroupName,ObjectId,ObjectFullName,HealthServiceId,WorkflowName,WorkflowDisplayName,RuleId,ObjectName,CounterName,InstanceName,SampleValue,Min,Max,Percentile95,SampleCount,TimeGenerated,TenantId,RootObjectName,ObjectDisplayName,ObjectType,SourceSystem,id,Type&skipLines=1&header=false} {add=[0eb96262-6b97-464f-95c8-62c7694a771d (1474728412110127104), 07341a2f-f7d7-411f-bedd-ec3ef03b6000 (1474728412110127105), 5a504736-7a76-41eb-bfbf-777a8b2720b9 (1474728412112224256), d76c999b-b6b3-4fcf-8cbe-1a5a0a2e05f9 (1474728412112224257), af8322aa-85ac-49e9-8f41-40f0e3f0bafd (1474728412112224258), 455d2f22-eab6-4fb9-9873-2192740aa4ba (1474728412112224259), d9c55204-bc92-4924-92bd-69cb8a7aebd7 (1474728412112224260), 5f28b81e-18aa-4593-b49f-976ca33e1b94 (1474728412112224261), b6cdf4bc-5567-4b31-9a6c-829930355257 (1474728412113272832), ec918395-d9d1-4cfd-8bad-11b8e776ee88 (1474728412113272833), ... (500 adds)]} 0 190
INFO  - 2014-07-26 21:36:50.863; org.apache.solr.update.processor.LogUpdateProcessor; [collection1] webapp=/solr path=/update/csv params={fieldnames=MG,ManagementGroupName,ObjectId,ObjectFullName,HealthServiceId,WorkflowName,WorkflowDisplayName,RuleId,ObjectName,CounterName,InstanceName,SampleValue,Min,Max,Percentile95,SampleCount,TimeGenerated,TenantId,RootObjectName,ObjectDisplayName,ObjectType,SourceSystem,id,Type&skipLines=1&header=false} {add=[9fd1b5ca-1ffc-44f8-8625-2273cdec0730 (1474728412510683136), b151dfc9-e9ad-4564-91b0-d74728ceb012 (1474728412510683137), 658e1f0b-c9ff-4bba-85d6-2104a95449db (1474728412510683138), 5b11d769-f057-4699-bc97-267f93ea1357 (1474728412510683139), c6bc28bd-b6ca-42ef-ae31-7c144dddf0ae (1474728412511731712), 62fbd861-d1ca-41bc-8de1-611efc4b02ab (1474728412511731713), 404cb68d-d9bb-42d8-9374-f7e3dc219ffa (1474728412511731714), e4757d9c-8546-4fee-839b-2ae74adb062c (1474728412512780288), 6b9aaa3b-082a-44f3-8576-265e0f2717fb (1474728412512780289), fae45429-e6d3-42d0-bfa5-a92d62fe0fbb (1474728412512780290), ... (500 adds)]} 0 180
INFO  - 2014-07-26 21:36:51.232; org.apache.solr.update.processor.LogUpdateProcessor; [collection1] webapp=/solr path=/update/csv params={fieldnames=MG,ManagementGroupName,ObjectId,ObjectFullName,HealthServiceId,WorkflowName,WorkflowDisplayName,RuleId,ObjectName,CounterName,InstanceName,SampleValue,Min,Max,Percentile95,SampleCount,TimeGenerated,TenantId,RootObjectName,ObjectDisplayName,ObjectType,SourceSystem,id,Type&skipLines=1&header=false} {add=[456c54d9-cc3a-4016-a70c-a22adae2743e (1474728412907044864), 320962ef-9c00-4c64-bf50-bb4d09cbfa72 (1474728412907044865), 068df293-9079-4954-987f-bdfd84b8f387 (1474728412908093440), e5347a9c-e8b6-47be-93f6-3fde5fe74c15 (1474728412908093441), b9dd6124-93af-47b5-8a4b-0dd03171188a (1474728412908093442), 4c2bd861-5c4d-4d7f-abb5-627811238ab9 (1474728412908093443), 646f47e4-4d4f-4055-bc7b-3494386923d1 (1474728412909142016), 67eac08a-93fb-49b1-8f71-5413d58175f0 (1474728412909142017), 9637ccd6-b85f-40ec-981a-f1d0d74d4ce0 (1474728412909142018), b08248f1-713c-4623-8ec0-94d4b65c8507 (1474728412910190592), ... (500 adds)]} 0 170
INFO  - 2014-07-26 21:36:51.696; org.apache.solr.update.processor.LogUpdateProcessor; [collection1] webapp=/solr path=/update/csv params={fieldnames=MG,ManagementGroupName,ObjectId,ObjectFullName,HealthServiceId,WorkflowName,WorkflowDisplayName,RuleId,ObjectName,CounterName,InstanceName,SampleValue,Min,Max,Percentile95,SampleCount,TimeGenerated,TenantId,RootObjectName,ObjectDisplayName,ObjectType,SourceSystem,id,Type&skipLines=1&header=false} {add=[916c7aa6-d824-4a12-9279-4410550d2dad (1474728413288726528), ef4bca47-e464-466c-b505-8837e6667aec (1474728413289775104), 7e53389b-6de6-4093-a771-c1222f63b801 (1474728413290823680), 973270da-81f0-47fd-8fc4-3e7a16798077 (1474728413290823681), adf4fb04-8be4-4fe7-824a-97aa6a3c1328 (1474728413290823682), e122ca2e-e6d2-43be-b497-59420260ae33 (1474728413290823683), 54e8ae7a-99b2-422a-9d55-fc768c3ea23a (1474728413290823684), 9bd2c2e8-4368-4f91-bb3f-984e9809ccaf (1474728413291872256), 9cf9a781-6843-4a05-a32d-2639501f9b24 (1474728413291872257), 8e5f195d-b59b-4b13-bae3-58f0ba619884 (1474728413291872258), ... (500 adds)]} 0 269
