testCase,indexSize,meanTime,StdDev,numQueries,time1,time2,etc
vanilla_10_terms,5000000,,,100,0.018,0.022,0.017,0.021,0.016,0.016,0.013,0.020,0.017,0.012,0.018,0.018,0.018,0.013,0.017,0.012,0.016,0.016,0.012,0.017,0.012,0.016,0.015,0.019,0.015,0.020,0.013,0.013,0.018,0.018,0.016,0.017,0.013,0.017,0.016,0.012,0.012,0.012,0.020,0.012,0.014,0.020,0.021,0.013,0.024,0.012,0.016,0.016,0.016,0.016,0.016,0.017,0.020,0.016,0.013,0.013,0.013,0.016,0.016,0.024,0.016,0.012,0.016,0.012,0.017,0.013,0.019,0.019,0.023,0.017,0.014,0.016,0.012,0.020,0.012,0.012,0.020,0.020,0.016,0.018,0.017,0.016,0.016,0.012,0.012,0.012,0.012,0.016,0.016,0.013,0.017,0.016,0.016,0.020,0.020,0.012,0.017,0.012,0.016,0.013,
vanilla_10_terms,6000000,,,100,0.018,0.018,0.014,0.019,0.018,0.018,0.015,0.020,0.137,0.021,0.017,0.014,0.021,0.020,0.020,0.017,0.022,0.013,0.019,0.015,0.017,0.020,0.017,0.021,0.013,0.018,0.014,0.020,0.018,0.021,0.015,0.021,0.021,0.018,0.021,0.013,0.017,0.017,0.017,0.023,0.017,0.016,0.013,0.022,0.019,0.023,0.019,0.021,0.017,0.020,0.017,0.013,0.021,0.017,0.021,0.017,0.017,0.021,0.017,0.017,0.013,0.017,0.021,0.023,0.014,0.321,0.028,0.017,0.017,0.017,0.017,0.013,0.017,0.013,0.017,0.017,0.021,0.017,0.013,0.013,0.032,0.015,0.017,0.017,0.021,0.022,0.022,0.013,0.017,0.014,0.025,0.013,0.016,0.016,0.020,0.019,0.014,0.017,0.022,0.016,
vanilla_10_terms,7000000,,,100,0.037,0.014,0.014,0.022,0.022,0.022,0.014,0.019,0.019,0.018,0.019,0.021,0.018,0.018,0.018,0.014,0.017,0.019,0.018,0.132,0.022,0.019,0.031,0.023,0.025,0.018,0.018,0.033,0.019,0.014,0.017,0.018,0.014,0.018,0.014,0.020,0.021,0.023,0.018,0.027,0.019,0.025,0.019,0.022,0.018,0.018,0.018,0.022,0.022,0.014,0.018,0.019,0.023,0.024,0.019,0.021,0.021,0.022,0.017,0.018,0.022,0.017,0.017,0.024,0.018,0.014,0.017,0.018,0.014,0.014,0.015,0.018,0.021,0.014,0.017,0.021,0.018,0.018,0.018,0.014,0.018,0.021,0.021,0.015,0.022,0.019,0.014,0.018,0.067,0.015,0.019,0.014,0.014,0.017,0.023,0.017,0.019,0.018,0.019,0.018,
vanilla_10_terms,8000000,,,100,0.017,0.023,0.022,0.020,0.024,0.026,0.020,0.024,0.016,0.022,0.024,0.023,0.016,0.019,0.019,0.019,0.023,0.024,0.020,0.021,0.022,0.019,0.019,0.022,0.019,0.019,0.019,0.019,0.018,0.023,0.019,0.020,0.025,0.019,0.019,0.020,0.020,0.023,0.019,0.019,0.019,0.024,0.015,0.023,0.015,0.019,0.021,0.017,0.049,0.021,0.023,0.019,0.020,0.027,0.020,0.019,0.024,0.022,0.020,0.021,0.019,0.018,0.019,0.020,0.020,0.016,0.025,0.025,0.020,0.023,0.016,0.019,0.018,0.023,0.019,0.020,0.020,0.024,0.016,0.019,0.019,0.019,0.030,0.024,0.016,0.021,0.021,0.019,0.020,0.025,0.022,0.022,0.020,0.015,0.022,0.018,0.014,0.015,0.019,0.018,
vanilla_10_terms,9000000,,,100,0.025,0.025,0.022,0.024,0.024,0.024,0.021,0.024,0.021,0.021,0.021,0.020,0.021,0.020,0.020,0.020,0.024,0.021,0.020,0.025,0.020,0.020,0.024,0.021,0.025,0.023,0.027,0.021,0.022,0.022,0.020,0.021,0.022,0.020,0.021,0.020,0.021,0.028,0.024,0.027,0.027,0.025,0.024,0.024,0.024,0.019,0.040,0.024,0.016,0.023,0.019,0.019,0.021,0.021,0.027,0.028,0.021,0.022,0.020,0.024,0.020,0.022,0.021,0.020,0.107,0.021,0.027,0.029,0.023,0.016,0.020,0.024,0.024,0.020,0.024,0.016,0.029,0.022,0.022,0.021,0.020,0.025,0.021,0.019,0.020,0.019,0.020,0.024,0.027,0.021,0.031,0.021,0.024,0.019,0.019,0.020,0.020,0.020,0.021,0.094,
vanilla_10_terms,10000000,,,100,0.021,0.021,0.025,0.021,0.021,0.025,0.025,0.021,0.022,0.021,0.026,0.026,0.022,0.021,0.024,0.021,0.025,0.020,0.020,0.022,0.021,0.021,0.021,0.020,0.017,0.021,0.030,0.022,0.022,0.028,0.022,0.021,0.025,0.021,0.024,0.025,0.022,0.029,0.023,0.028,0.027,0.029,0.021,0.020,0.025,0.021,0.021,0.024,0.019,0.024,0.032,0.026,0.025,0.024,0.021,0.022,0.026,0.022,0.021,0.025,0.026,0.021,0.025,0.027,0.021,0.023,0.022,0.025,0.027,0.027,0.028,0.024,0.021,0.020,0.026,0.020,0.021,0.028,0.021,0.022,0.024,0.029,0.022,0.030,0.026,0.025,0.022,0.025,0.026,0.021,0.021,0.021,0.016,0.020,0.020,0.025,0.022,0.021,0.025,0.017,
vanilla_10K_terms,1,,,100,0.024,0.009,0.010,0.011,0.009,0.019,0.011,0.009,0.009,0.008,0.009,0.009,0.010,0.009,0.013,0.012,0.012,0.009,0.008,0.018,0.009,0.008,0.009,0.008,0.008,0.008,0.008,0.008,0.009,0.008,0.008,0.009,0.009,0.008,0.009,0.015,0.014,0.008,0.008,0.017,0.010,0.008,0.008,0.008,0.009,0.008,0.009,0.008,0.033,0.008,0.008,0.008,0.008,0.008,0.008,0.008,0.008,0.008,0.008,0.008,0.008,0.008,0.012,0.012,0.009,0.010,0.010,0.208,0.008,0.008,0.009,0.009,0.010,0.011,0.015,0.008,0.008,0.012,0.008,0.008,0.008,0.008,0.018,0.009,0.008,0.008,0.008,0.008,0.008,0.009,0.009,0.008,0.008,0.008,0.008,0.008,0.008,0.008,0.008,0.008,
vanilla_10K_terms,10,,,100,0.013,0.214,0.009,0.008,0.008,0.009,0.008,0.010,0.010,0.010,0.008,0.008,0.008,0.008,0.009,0.008,0.009,0.008,0.008,0.008,0.008,0.008,0.042,0.008,0.008,0.008,0.008,0.008,0.008,0.008,0.008,0.009,0.008,0.008,0.008,0.008,0.008,0.008,0.009,0.008,0.008,0.008,0.008,0.009,0.008,0.008,0.009,0.008,0.010,0.009,0.009,0.011,0.008,0.008,0.008,0.008,0.008,0.010,0.012,0.008,0.022,0.012,0.008,0.008,0.008,0.008,0.019,0.008,0.008,0.008,0.008,0.008,0.008,0.008,0.008,0.010,0.009,0.008,0.046,0.008,0.008,0.008,0.008,0.008,0.008,0.008,0.009,0.011,0.011,0.008,0.008,0.008,0.008,0.008,0.010,0.010,0.013,0.016,0.011,0.008,
vanilla_10K_terms,100,,,100,0.012,0.009,0.025,0.011,0.011,0.022,0.023,0.010,0.009,0.010,0.009,0.010,0.018,0.022,0.011,0.009,0.009,0.010,0.009,0.011,0.011,0.011,0.008,0.019,0.011,0.009,0.008,0.010,0.021,0.008,0.041,0.012,0.011,0.013,0.008,0.012,0.010,0.008,0.009,0.008,0.008,0.008,0.009,0.008,0.009,0.009,0.009,0.173,0.008,0.015,0.009,0.008,0.009,0.008,0.008,0.009,0.009,0.008,0.010,0.008,0.008,0.008,0.009,0.008,0.011,0.008,0.011,0.008,0.008,0.012,0.012,0.009,0.015,0.011,0.009,0.008,0.008,0.008,0.009,0.008,0.008,0.008,0.008,0.009,0.009,0.013,0.008,0.008,0.008,0.008,0.008,0.009,0.008,0.008,0.010,0.008,0.009,0.009,0.009,0.008,
vanilla_10K_terms,1000,,,100,0.013,0.009,0.009,0.010,0.009,0.009,0.009,0.010,0.010,0.012,0.009,0.009,0.026,0.010,0.009,0.009,0.013,0.009,0.009,0.012,0.009,0.011,0.009,0.009,0.009,0.009,0.013,0.011,0.009,0.010,0.009,0.009,0.009,0.010,0.009,0.009,0.009,0.011,0.009,0.008,0.009,0.009,0.009,0.010,0.009,0.025,0.009,0.008,0.009,0.009,0.009,0.014,0.009,0.010,0.009,0.009,0.010,0.009,0.009,0.008,0.009,0.009,0.009,0.009,0.010,0.009,0.010,0.009,0.009,0.012,0.010,0.009,0.009,0.009,0.008,0.009,0.010,0.009,0.011,0.009,0.009,0.009,0.010,0.009,0.010,0.008,0.009,0.011,0.008,0.012,0.013,0.010,0.014,0.010,0.011,0.009,0.008,0.009,0.009,0.009,
